service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SEPT23-SEPDA23-Weekday-43,1,1,1,1,1,0,0,20231019,20231222
SEPT23-SEPSA23-Saturday-40,0,0,0,0,0,1,0,20231021,20231223
SEPT23-SEPSU23-Sunday-39,0,0,0,0,0,0,1,20231022,20231217
SEPT23-s1300Hi-Saturday-01,0,0,0,0,0,1,0,20231021,20231021
SEPT23-w1845Hi-Weekday-01,1,1,1,1,1,0,0,20231024,20231024
SEPT23-Oct2823-Saturday-03,0,0,0,0,0,1,0,20231028,20231028
SEPT23-w1900Hi-Weekday-01,1,1,1,1,1,0,0,20231102,20231129
SEPT23-s1900Hi-Saturday-03,0,0,0,0,0,1,0,20231104,20231111
SEPT23-w2000Hi-Weekday-01,1,1,1,1,1,0,0,20231121,20231121
SEPT23-w1930Hi-Weekday-01,1,1,1,1,1,0,0,20231124,20231124
SEPT23-MThCFD-Weekday-01,1,1,1,1,1,0,0,20231019,20231221
SEPT23-FRICFD-Weekday-01,1,1,1,1,1,0,0,20231020,20231222
SEPT23-CFDSAT-Saturday-20,0,0,0,0,0,1,0,20231021,20231223
SEPT23-CFDSUN-Sunday-20,0,0,0,0,0,0,1,20231022,20231217
SEPT23-E1-Weekday-03,1,1,1,1,1,0,0,20231019,20231222
SEPT23-304Shop-Weekday-01,1,1,1,1,1,0,0,20231019,20231221
SEPT23-305Shop-Weekday-01,1,1,1,1,1,0,0,20231020,20231222
SEPT23-301Shop-Weekday-01,1,1,1,1,1,0,0,20231023,20231218
SEPT23-302Shop-Weekday-01,1,1,1,1,1,0,0,20231024,20231219
SEPT23-303Shop-Weekday-01,1,1,1,1,1,0,0,20231025,20231220
