route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
301,SEPT23-301Shop-Weekday-01,90808660,"Bayshore / Carlingwood",0,3010065
301,SEPT23-301Shop-Weekday-01,90808664,"Richmond / Stittsville",1,3010064
302,SEPT23-302Shop-Weekday-01,90808654,"St Laurent / Place D'Orléans",0,3020037
302,SEPT23-302Shop-Weekday-01,90808658,"Cumberland",1,3020038
303,SEPT23-303Shop-Weekday-01,90808647,"Bayshore / Carlingwood",0,3030056
303,SEPT23-303Shop-Weekday-01,90808648,"Dunrobin / Carp / Stittsville",1,3030057
304,SEPT23-304Shop-Weekday-01,90808640,"Billings Bridge / South Keys",0,3040021
304,SEPT23-304Shop-Weekday-01,90808644,"Osgoode / Greely / Metcalfe",1,3040022
305,SEPT23-305Shop-Weekday-01,90808633,"Carlingwood",0,3050048
305,SEPT23-305Shop-Weekday-01,90808637,"North Gower / Manotick",1,3050049
1,SEPT23-CFDSAT-Saturday-20,91375348,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375349,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375350,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375351,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375352,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375353,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375354,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375355,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375356,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375357,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375358,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375359,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375360,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375361,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375362,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375363,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375364,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375365,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375366,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375367,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375368,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375369,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375370,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375371,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375372,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375373,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375374,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375375,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375376,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375377,"Tunney's Pasture",1,10736
1,SEPT23-CFDSAT-Saturday-20,91375378,"Blair",0,10716
1,SEPT23-CFDSAT-Saturday-20,91375379,"Tunney's Pasture",1,10736
