service_id,date,exception_type
H01J024A-Dimanche-11-_23FET-0000001-,20231226,1
H01J024I-Dimanche-11-_23FET-0000001-,20231225,1
H01J824S-Semaine-0-_23FET-1111100-,20231227,1
H01J824S-Semaine-0-_23FET-1111100-,20231228,1
H01J824S-Semaine-0-_23FET-1111100-,20231229,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231104,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231111,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231118,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231125,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231202,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231209,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231216,1
H01M023A-Dimanche-2-_23AUT-0000001-,20231223,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231105,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231112,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231119,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231126,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231203,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231210,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231217,1
H01M023I-Dimanche-2-_23AUT-0000001-,20231224,1
H01M923S-Semaine-3-_23AUT-1111100-,20231103,1
H01M923S-Semaine-3-_23AUT-1111100-,20231106,1
H01M923S-Semaine-3-_23AUT-1111100-,20231107,1
H01M923S-Semaine-3-_23AUT-1111100-,20231108,1
H01M923S-Semaine-3-_23AUT-1111100-,20231109,1
H01M923S-Semaine-3-_23AUT-1111100-,20231110,1
H01M923S-Semaine-3-_23AUT-1111100-,20231113,1
H01M923S-Semaine-3-_23AUT-1111100-,20231114,1
H01M923S-Semaine-3-_23AUT-1111100-,20231115,1
H01M923S-Semaine-3-_23AUT-1111100-,20231116,1
H01M923S-Semaine-3-_23AUT-1111100-,20231117,1
H01M923S-Semaine-3-_23AUT-1111100-,20231120,1
H01M923S-Semaine-3-_23AUT-1111100-,20231121,1
H01M923S-Semaine-3-_23AUT-1111100-,20231122,1
H01M923S-Semaine-3-_23AUT-1111100-,20231123,1
H01M923S-Semaine-3-_23AUT-1111100-,20231124,1
H01M923S-Semaine-3-_23AUT-1111100-,20231127,1
H01M923S-Semaine-3-_23AUT-1111100-,20231128,1
H01M923S-Semaine-3-_23AUT-1111100-,20231129,1
H01M923S-Semaine-3-_23AUT-1111100-,20231130,1
H01M923S-Semaine-3-_23AUT-1111100-,20231201,1
H01M923S-Semaine-3-_23AUT-1111100-,20231204,1
H01M923S-Semaine-3-_23AUT-1111100-,20231205,1
H01M923S-Semaine-3-_23AUT-1111100-,20231206,1
H01M923S-Semaine-3-_23AUT-1111100-,20231207,1
H01M923S-Semaine-3-_23AUT-1111100-,20231208,1
H01M923S-Semaine-3-_23AUT-1111100-,20231211,1
H01M923S-Semaine-3-_23AUT-1111100-,20231212,1
H01M923S-Semaine-3-_23AUT-1111100-,20231213,1
H01M923S-Semaine-3-_23AUT-1111100-,20231214,1
H01M923S-Semaine-3-_23AUT-1111100-,20231215,1
H01M923S-Semaine-3-_23AUT-1111100-,20231218,1
H01M923S-Semaine-3-_23AUT-1111100-,20231219,1
H01M923S-Semaine-3-_23AUT-1111100-,20231220,1
H01M923S-Semaine-3-_23AUT-1111100-,20231221,1
H01M923S-Semaine-3-_23AUT-1111100-,20231222,1
