stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1000,1000,"FRONT/CORMIER",,  45.404937, -75.854477,,,0,2
1001,1001,"FRONT/de la TERRASSE-EARDLEY",,  45.408163, -75.856295,,,0,2
1002,1002,"CORMIER/FRONT",,  45.404290, -75.854024,,,0,2
1004,1004,"EARDLEY/FRONT",,  45.401477, -75.854773,,,0,1
1005,1005,"FRONT/de la TERRASSE-EARDLEY",,  45.406665, -75.855729,,,0,1
1006,1006,"EARDLEY/FRONT",,  45.401653, -75.854754,,,0,1
1007,1007,"des ALLUMETTIÈRES/BROAD",,  45.409635, -75.848965,,,0,1
1009,1009,"des ALLUMETTIÈRES/KLOCK",,  45.409832, -75.850072,,,0,1
1016,1016,"BROOK/METCALFE",,  45.398072, -75.857162,,,0,1
1017,1017,"BEAULAC/du CANOTAGE",,  45.400620, -75.864076,,,0,1
1019,1019,"EARDLEY/ÉDOUARD-GAGNON",,  45.402875, -75.857159,,,0,1
1020,1020,"RAOUL-ROY/ARTHUR-CROTEAU",,  45.400293, -75.858773,,,0,2
1021,1021,"147 EARDLEY",,  45.404974, -75.860576,,,0,2
1022,1022,"RAOUL-ROY/HELENORE",,  45.398755, -75.858700,,,0,2
1023,1023,"147 EARDLEY",,  45.404807, -75.860497,,,0,2
1024,1024,"ARTHUR-CROTEAU/XAVIER",,  45.400531, -75.860534,,,0,2
1025,1025,"EARDLEY/RILEY",,  45.406576, -75.863360,,,0,2
1026,1026,"ARTHUR-CROTEAU/XAVIER",,  45.400316, -75.861629,,,0,2
1027,1027,"EARDLEY/RILEY",,  45.406432, -75.863472,,,0,2
1028,1028,"BEAULAC/XAVIER",,  45.400704, -75.863990,,,0,1
1030,1030,"BEAULAC/du KAYAK",,  45.402114, -75.866438,,,0,1
1031,1031,"BEAULAC/du CATAMARAN",,  45.403794, -75.869851,,,0,1
1034,1034,"EARDLEY/ÉDOUARD-GAGNON",,  45.403111, -75.857315,,,0,2
1037,1037,"BEAULAC/du KAYAK",,  45.401690, -75.865886,,,0,1
1038,1038,"FRONT/HARVEY",,  45.397370, -75.854762,,,0,2
1039,1039,"BEAULAC/du RAMEUR",,  45.403222, -75.868800,,,0,2
1040,1040,"FRONT/DERWIN",,  45.397891, -75.855024,,,0,2
1042,1042,"FRONT/CATHCART",,  45.395751, -75.854623,,,0,2
1043,1043,"LATTION/de BEAUPRÉ",,  45.408013, -75.870947,,,0,2
1044,1044,"FRONT/CATHCART",,  45.395750, -75.854725,,,0,1
1045,1045,"LATTION/de BEAUPRÉ",,  45.407907, -75.870741,,,0,2
1046,1046,"PRINCIPALE/TIBERIUS",,  45.394459, -75.852860,,,0,2
1047,1047,"BEAULAC/LATTION",,  45.404735, -75.872447,,,0,1
1048,1048,"PRINCIPALE/TIBERIUS",,  45.394365, -75.852542,,,0,1
1049,1049,"LATTION/BEAULAC",,  45.405337, -75.872440,,,0,2
1050,1050,"PRINCIPALE/JUBILEE",,  45.394592, -75.850744,,,0,1
1051,1051,"VANIER/du PLATEAU",,  45.421127, -75.809631,,,0,1
1052,1052,"PRINCIPALE/JUBILEE",,  45.394513, -75.850439,,,0,1
1053,1053,"VANIER/du PLATEAU",,  45.421100, -75.809834,,,0,2
1054,1054,"PRINCIPALE/PARKER",,  45.394749, -75.848067,,,0,2
