route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
31,H01J024A-Dimanche-10-_23FET-0000001-,52111896,"Cégep GRoy",0,310589
37,H01J024A-Dimanche-10-_23FET-0000001-,52111897,"Ottawa",1,370877
371,H01J024A-Dimanche-10-_23FET-0000001-,52111898,"Cégep GRoy",0,3710348
37,H01J024A-Dimanche-10-_23FET-0000001-,52111899,"Ottawa",1,370877
55,H01J024A-Dimanche-10-_23FET-0000001-,52111900,"Pob Allum",0,550518
55,H01J024A-Dimanche-10-_23FET-0000001-,52111901,"Ottawa",1,550519
67,H01J024A-Dimanche-10-_23FET-0000001-,52111902,"La Cité",0,670704
65,H01J024A-Dimanche-10-_23FET-0000001-,52111903,"La Gappe",1,650330
76,H01J024A-Dimanche-10-_23FET-0000001-,52111904,"Labrosse",0,760260
400,H01J024A-Dimanche-10-_23FET-0000001-,52111905,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52111906,"Lorrain",0,4000399
65,H01J024A-Dimanche-10-_23FET-0000001-,52111907,"La Gappe",1,650330
67,H01J024A-Dimanche-10-_23FET-0000001-,52111908,"Ottawa",1,670705
38,H01J024A-Dimanche-10-_23FET-0000001-,52115909,"Ottawa",1,380582
400,H01J024A-Dimanche-10-_23FET-0000001-,52115910,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115911,"Lorrain",0,4000399
800,H01J024A-Dimanche-10-_23FET-0000001-,52115912,"Pob Allum",1,8000219
800,H01J024A-Dimanche-10-_23FET-0000001-,52115913,"Lorrain",0,8000218
400,H01J024A-Dimanche-10-_23FET-0000001-,52115914,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115915,"Lorrain",0,4000399
400,H01J024A-Dimanche-10-_23FET-0000001-,52115916,"Ottawa",1,4000398
371,H01J024A-Dimanche-10-_23FET-0000001-,52115917,"Cégep GRoy",0,3710348
52,H01J024A-Dimanche-10-_23FET-0000001-,52115918,"Pob Allum",0,520605
55,H01J024A-Dimanche-10-_23FET-0000001-,52115919,"Ottawa",1,550519
38,H01J024A-Dimanche-10-_23FET-0000001-,52115920,"Freeman",0,380581
38,H01J024A-Dimanche-10-_23FET-0000001-,52115921,"Ottawa",1,380582
34,H01J024A-Dimanche-10-_23FET-0000001-,52115922,"Pob Allum",0,340536
34,H01J024A-Dimanche-10-_23FET-0000001-,52115923,"Ottawa",1,340537
371,H01J024A-Dimanche-10-_23FET-0000001-,52115924,"Cégep GRoy",0,3710348
37,H01J024A-Dimanche-10-_23FET-0000001-,52115925,"Ottawa",1,370877
67,H01J024A-Dimanche-10-_23FET-0000001-,52115926,"Ottawa",1,670705
59,H01J024A-Dimanche-10-_23FET-0000001-,52115927,"Pob Allum",0,591016
55,H01J024A-Dimanche-10-_23FET-0000001-,52115928,"Ottawa",1,550519
59,H01J024A-Dimanche-10-_23FET-0000001-,52115929,"Pob Allum",0,591016
52,H01J024A-Dimanche-10-_23FET-0000001-,52115930,"Rivermead",1,520607
52,H01J024A-Dimanche-10-_23FET-0000001-,52115931,"Pob Allum",0,520605
59,H01J024A-Dimanche-10-_23FET-0000001-,52115932,"Ottawa",1,591015
400,H01J024A-Dimanche-10-_23FET-0000001-,52115933,"Lorrain",0,4000399
400,H01J024A-Dimanche-10-_23FET-0000001-,52115934,"Lorrain",0,4000399
400,H01J024A-Dimanche-10-_23FET-0000001-,52115935,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115936,"Lorrain",0,4000399
76,H01J024A-Dimanche-10-_23FET-0000001-,52115937,"La Cité",1,760261
65,H01J024A-Dimanche-10-_23FET-0000001-,52115938,"La Gappe",1,650330
66,H01J024A-Dimanche-10-_23FET-0000001-,52115939,"Promenades",0,660272
66,H01J024A-Dimanche-10-_23FET-0000001-,52115940,"La Gappe",1,660271
63,H01J024A-Dimanche-10-_23FET-0000001-,52115941,"La Cité",0,630197
69,H01J024A-Dimanche-10-_23FET-0000001-,52115942,"GD Jardins",0,690268
69,H01J024A-Dimanche-10-_23FET-0000001-,52115943,"La Gappe",1,690271
64,H01J024A-Dimanche-10-_23FET-0000001-,52115944,"Cégep GRoy",0,640404
400,H01J024A-Dimanche-10-_23FET-0000001-,52115945,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115946,"Lorrain",0,4000399
77,H01J024A-Dimanche-10-_23FET-0000001-,52115947,"Lorrain",0,770328
78,H01J024A-Dimanche-10-_23FET-0000001-,52115948,"Lorrain",0,780243
77,H01J024A-Dimanche-10-_23FET-0000001-,52115949,"Lorrain",0,770328
78,H01J024A-Dimanche-10-_23FET-0000001-,52115950,"Lorrain",0,780243
75,H01J024A-Dimanche-10-_23FET-0000001-,52115951,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115952,"La Cité",1,750236
75,H01J024A-Dimanche-10-_23FET-0000001-,52115953,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115954,"La Cité",1,750236
75,H01J024A-Dimanche-10-_23FET-0000001-,52115955,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115956,"La Cité",1,750236
75,H01J024A-Dimanche-10-_23FET-0000001-,52115957,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115958,"La Cité",1,750236
67,H01J024A-Dimanche-10-_23FET-0000001-,52115959,"La Cité",0,670704
71,H01J024A-Dimanche-10-_23FET-0000001-,52115960,"Labrosse",0,710227
71,H01J024A-Dimanche-10-_23FET-0000001-,52115961,"La Cité",1,710229
400,H01J024A-Dimanche-10-_23FET-0000001-,52115962,"Ottawa",1,4000398
55,H01J024A-Dimanche-10-_23FET-0000001-,52115963,"Pob Allum",0,550518
55,H01J024A-Dimanche-10-_23FET-0000001-,52115964,"Ottawa",1,550519
400,H01J024A-Dimanche-10-_23FET-0000001-,52115965,"Lorrain",0,4000399
66,H01J024A-Dimanche-10-_23FET-0000001-,52115966,"Promenades",0,660272
66,H01J024A-Dimanche-10-_23FET-0000001-,52115967,"La Gappe",1,660271
371,H01J024A-Dimanche-10-_23FET-0000001-,52115968,"Ottawa",1,3710347
55,H01J024A-Dimanche-10-_23FET-0000001-,52115969,"Pob Allum",0,550518
59,H01J024A-Dimanche-10-_23FET-0000001-,52115970,"Ottawa",1,591015
67,H01J024A-Dimanche-10-_23FET-0000001-,52115971,"La Cité",0,670704
34,H01J024A-Dimanche-10-_23FET-0000001-,52115972,"Pob Allum",0,340536
59,H01J024A-Dimanche-10-_23FET-0000001-,52115973,"Ottawa",1,591015
67,H01J024A-Dimanche-10-_23FET-0000001-,52115974,"La Cité",0,670704
67,H01J024A-Dimanche-10-_23FET-0000001-,52115975,"Ottawa",1,670705
49,H01J024A-Dimanche-10-_23FET-0000001-,52115976,"Gal.Aylmer",1,490652
49,H01J024A-Dimanche-10-_23FET-0000001-,52115977,"Cégep GRoy",0,490651
64,H01J024A-Dimanche-10-_23FET-0000001-,52115978,"La Gappe",1,640408
400,H01J024A-Dimanche-10-_23FET-0000001-,52115979,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115980,"Lorrain",0,4000399
400,H01J024A-Dimanche-10-_23FET-0000001-,52115981,"Ottawa",1,4000398
59,H01J024A-Dimanche-10-_23FET-0000001-,52115982,"Pob Allum",0,591016
52,H01J024A-Dimanche-10-_23FET-0000001-,52115983,"Rivermead",1,520607
34,H01J024A-Dimanche-10-_23FET-0000001-,52115984,"Pob Allum",0,340536
59,H01J024A-Dimanche-10-_23FET-0000001-,52115985,"Ottawa",1,591015
67,H01J024A-Dimanche-10-_23FET-0000001-,52115986,"La Cité",0,670704
67,H01J024A-Dimanche-10-_23FET-0000001-,52115987,"Ottawa",1,670705
67,H01J024A-Dimanche-10-_23FET-0000001-,52115988,"La Cité",0,670704
75,H01J024A-Dimanche-10-_23FET-0000001-,52115989,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115990,"La Cité",1,750236
75,H01J024A-Dimanche-10-_23FET-0000001-,52115991,"Lorrain",0,750237
75,H01J024A-Dimanche-10-_23FET-0000001-,52115992,"La Cité",1,750236
37,H01J024A-Dimanche-10-_23FET-0000001-,52115993,"Ottawa",1,370877
400,H01J024A-Dimanche-10-_23FET-0000001-,52115994,"Lorrain",0,4000399
400,H01J024A-Dimanche-10-_23FET-0000001-,52115995,"Ottawa",1,4000398
400,H01J024A-Dimanche-10-_23FET-0000001-,52115996,"Lorrain",0,4000399
76,H01J024A-Dimanche-10-_23FET-0000001-,52115997,"Labrosse",0,760260
800,H01J024A-Dimanche-10-_23FET-0000001-,52115998,"Pob Allum",1,8000219
59,H01J024A-Dimanche-10-_23FET-0000001-,52115999,"Ottawa",1,591015
31,H01J024A-Dimanche-10-_23FET-0000001-,52116000,"Ottawa",1,310588
33,H01J024A-Dimanche-10-_23FET-0000001-,52116001,"Freeman",0,331206
59,H01J024A-Dimanche-10-_23FET-0000001-,52116002,"Pob Allum",0,591016
55,H01J024A-Dimanche-10-_23FET-0000001-,52116003,"Ottawa",1,550519
34,H01J024A-Dimanche-10-_23FET-0000001-,52116004,"Pob Allum",0,340536
59,H01J024A-Dimanche-10-_23FET-0000001-,52116005,"Ottawa",1,591015
59,H01J024A-Dimanche-10-_23FET-0000001-,52116006,"Pob Allum",0,591016
52,H01J024A-Dimanche-10-_23FET-0000001-,52116007,"Rivermead",1,520607
52,H01J024A-Dimanche-10-_23FET-0000001-,52116008,"Pob Allum",0,520605
59,H01J024A-Dimanche-10-_23FET-0000001-,52116009,"Ottawa",1,591015
