service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
498,20220101,20251231,1,1,1,1,1,1,1
499,20220101,20251231,1,1,1,1,1,1,1
494,20220101,20251231,0,0,0,0,0,0,1
495,20220101,20251231,1,1,1,1,1,1,1
496,20220101,20251231,1,1,1,1,1,1,1
497,20220101,20251231,1,1,1,1,1,1,1
490,20220101,20251231,1,1,1,1,1,1,1
491,20220101,20251231,0,0,0,0,0,1,0
492,20220101,20251231,1,1,1,1,1,1,1
542,20190615,20191020,1,1,1,1,1,1,1
543,20190615,20191020,1,1,1,1,1,1,1
540,20220101,20270705,0,0,0,0,0,1,1
541,20220101,20270705,1,1,1,1,0,1,1
546,20190615,20191020,1,1,1,1,1,1,1
547,20190615,20191020,1,1,1,1,1,1,1
544,20190615,20191020,1,1,1,1,1,1,1
545,20190615,20191020,1,1,1,1,1,1,1
548,20190615,20191020,1,1,1,1,1,1,1
549,20190615,20191020,1,1,1,1,1,1,1
269,20220101,20251231,0,1,0,1,0,1,0
537,20220101,20270702,0,1,0,1,0,0,0
536,20220101,20270630,1,0,1,0,1,0,0
535,20220101,20270702,1,0,1,0,1,0,0
534,20200701,20270609,0,0,1,0,1,0,1
533,20200701,20250101,0,0,1,0,1,0,1
371,20220101,20251231,1,1,1,1,1,0,0
539,20220101,20270705,1,1,1,1,1,1,1
538,20220101,20270702,0,0,0,0,0,0,1
270,20220101,20251231,0,0,1,0,1,0,1
397,20220101,20251231,0,0,0,0,0,0,1
396,20220101,20251231,0,1,0,1,0,0,0
112,20201211,20251231,1,0,0,0,1,0,0
278,20220101,20251231,0,1,0,0,0,0,0
279,20220101,20251231,0,0,0,0,1,0,0
525,20220101,20250101,0,1,0,0,0,0,1
526,20220101,20250101,0,0,0,1,0,1,0
520,20220101,20251231,1,1,1,1,1,1,1
449,20220101,20251231,1,1,1,1,1,1,0
448,20220101,20251231,0,0,0,0,0,1,0
443,20220101,20251231,1,1,1,1,1,1,1
442,20220101,20251231,1,1,1,1,1,1,1
446,20220101,20251231,0,0,0,0,0,1,0
445,20220101,20251231,1,1,1,1,1,0,1
444,20220101,20251231,1,1,1,1,1,1,1
109,20190429,20191105,0,0,0,0,1,0,0
388,20220101,20251231,0,0,0,0,0,1,0
519,20220101,20251231,1,1,1,1,1,1,1
518,20220101,20251231,1,1,1,1,1,1,0
511,20220101,20251231,0,0,0,0,0,1,1
510,20220101,20251231,1,1,1,1,1,0,0
513,20220101,20251231,1,1,1,1,1,1,1
512,20220101,20251231,1,1,1,1,1,1,1
433,20220101,20251231,0,0,0,0,0,1,1
517,20220101,20251231,1,1,1,1,1,1,1
516,20220101,20251231,1,1,1,1,1,1,1
458,20220101,20251231,1,1,1,1,1,1,1
459,20220101,20251231,1,1,1,1,1,1,1
450,20220101,20251231,1,1,1,1,1,1,1
451,20220101,20251231,1,1,1,1,1,1,1
452,20220101,20251231,1,1,1,1,1,0,1
453,20220101,20251231,1,1,1,1,1,1,0
454,20220101,20251231,1,1,1,1,1,1,1
455,20220101,20251231,1,1,1,1,1,1,1
456,20220101,20251231,1,1,1,1,1,0,1
482,20220101,20251231,1,1,1,1,1,1,0
508,20220101,20251231,1,1,1,1,1,1,1
504,20210811,20251231,0,0,1,0,1,0,1
505,20210811,20251231,0,0,1,0,1,0,1
502,20220101,20251231,1,1,1,1,1,1,1
503,20220101,20251231,1,1,1,1,1,1,1
500,20220101,20251231,1,1,1,1,1,1,1
501,20220101,20251231,1,1,1,1,1,1,1
467,20220101,20251231,1,1,1,1,1,0,0
466,20220101,20251231,1,1,1,1,1,1,1
461,20220101,20251231,0,0,0,0,0,1,1
460,20220101,20251231,1,1,1,1,1,0,1
463,20220101,20251231,1,1,1,1,1,1,1
462,20220101,20251231,1,1,1,1,1,1,1
91,20220101,20251231,1,1,1,1,1,1,1
93,20220101,20251231,1,1,1,1,1,1,1
95,20220101,20251231,0,0,0,0,1,0,0
111,20201213,20251231,0,0,1,0,0,0,1
110,20190429,20191105,0,1,0,0,0,0,0
555,20190621,20190902,1,0,0,1,0,1,0
554,20220101,20251231,1,1,1,1,1,1,1
556,20190621,20190902,0,0,1,0,1,0,1
551,20190615,20191020,1,1,1,1,1,1,1
550,20190615,20191020,1,1,1,1,1,1,1
553,20190615,20191020,1,1,1,1,1,1,1
552,20190615,20191020,1,1,1,1,1,1,1
489,20220101,20251231,1,1,1,1,1,1,1
488,20220101,20251231,1,1,1,1,1,1,1
487,20220101,20251231,1,1,1,1,1,0,1
486,20220101,20251231,1,1,1,1,1,1,1
485,20220101,20251231,1,1,1,1,1,0,0
484,20220101,20251231,0,0,0,0,0,1,0
483,20220101,20251231,1,1,1,1,1,0,0
434,20220101,20251231,1,1,1,1,1,0,0
481,20220101,20251231,1,1,1,1,1,0,1
514,20220101,20251231,0,0,0,0,0,0,1
472,20220101,20251231,1,1,1,1,1,1,1
473,20220101,20251231,1,1,1,1,1,1,1
470,20220101,20251231,1,1,1,1,1,1,1
471,20220101,20251231,1,1,1,1,1,0,0
476,20220101,20251231,1,1,1,1,1,1,1
477,20220101,20251231,1,1,1,1,1,1,1
474,20220101,20251231,1,1,1,1,1,0,1
475,20220101,20251231,1,1,1,1,1,1,1
478,20220101,20251231,1,1,1,1,1,1,1
479,20220101,20251231,1,1,1,1,1,1,1
