trip_id,arrival_time,stop_id,stop_sequence
498,10:55:00,119,1
498,11:15:00,34,2
498,11:27:00,322,3
498,11:38:00,6,4
498,12:04:00,70,5
498,12:30:00,114,6
498,13:07:00,7,7
498,13:31:00,11,8
498,14:17:00,93,9
499,17:40:00,119,1
499,18:00:00,34,2
499,18:12:00,322,3
499,18:24:00,6,4
499,18:49:00,70,5
499,19:16:00,114,6
499,19:53:00,7,7
499,20:21:00,11,8
499,21:09:00,93,9
499,21:35:00,14,10
499,22:03:00,280,11
499,22:20:00,341,12
494,07:30:00,93,1
494,07:50:00,323,2
494,08:03:00,282,3
494,08:39:00,162,4
494,09:18:00,600,5
494,09:35:00,436,6
494,10:04:00,119,7
495,08:43:00,618,1
495,09:25:00,601,2
495,10:04:00,78,3
495,10:38:00,93,4
495,11:04:00,323,5
495,11:20:00,282,6
495,11:52:00,162,7
495,12:25:00,600,8
495,12:39:00,436,9
495,13:05:00,119,10
496,13:46:00,618,1
496,14:28:00,601,2
496,15:03:00,78,3
496,15:38:00,93,4
496,16:39:00,162,5
496,17:10:00,600,6
496,17:27:00,436,7
496,17:53:00,119,8
497,17:41:00,618,1
497,18:25:00,601,2
497,18:59:00,78,3
497,19:32:00,93,4
497,19:57:00,323,5
497,20:08:00,282,6
497,20:39:00,162,7
497,21:09:00,600,8
497,21:24:00,436,9
497,21:50:00,119,10
490,17:30:00,119,1
490,17:53:00,436,2
490,18:09:00,600,3
490,18:41:00,162,4
490,19:12:00,282,5
490,19:27:00,323,6
490,19:55:00,93,7
490,20:29:00,78,8
490,21:03:00,601,9
490,21:58:00,618,10
491,19:45:00,119,1
491,20:06:00,436,2
491,20:22:00,600,3
491,20:50:00,162,4
491,21:17:00,282,5
491,21:30:00,323,6
491,21:52:00,93,7
492,05:40:00,618,1
492,06:24:00,601,2
492,07:30:00,93,3
492,08:00:00,323,4
492,08:13:00,282,5
492,08:49:00,162,6
492,09:28:00,600,7
492,09:43:00,436,8
492,10:10:00,119,9
542,09:00:00,640,1
